-90426358G;OLHal2ZI;Nertie Boncore;8 Lakewood Trail;37,924152;-5,548795
6352;74;37,340709:3,357036;37,621235:3,350108;14/11/2027 16:12;9316BAS
-05855527V;vsDuSkIcXr;Nicolis Simenon;4073 Moulton Street;42,750687;-9,027928
6353;14;37,401379:3,987243;37,612751:3,396405;20/1/2030 16:12;2786CDD
6354;18;37,817835:3,168462;37,722617:3,735923;27/9/2031 16:12;1714ZNZ
6355;24;37,321787:3,315043;37,782220:3,921903;2/9/2024 16:12;2809FXX
6356;32;37,450056:3,551256;37,518509:3,634846;27/5/2037 16:12;4353ZUV
-73103266Z;7R96ppM;Christiane Hurkett;249 Pierstorff Plaza;38,695629;-6,656504
6357;91;37,468001:3,797967;37,458968:3,421918;4/2/2044 16:12;6157SCN
6358;50;37,944639:3,886807;37,421949:3,559526;22/1/2054 16:12;6516UYH
-16578138L;Khqn9Xrrq;Perry Eck;98 Trailsway Alley;36,236710;-2,495356
6359;61;37,378368:3,318491;37,095462:3,175512;21/2/2033 16:12;3590HIO
6360;50;37,887661:3,297739;37,056276:3,134129;11/2/2044 16:12;1383LOK
6361;31;37,024323:3,244881;37,060732:3,291787;22/11/2031 16:12;5589JTN
6362;13;37,906308:3,068850;37,814081:3,637226;29/4/2046 16:12;8613XNV
-71803000V;IqB5I15qHNt;Cynde Bielby;22211 Blackbird Terrace;36,790112;-6,727960
6363;35;37,403424:3,104678;37,360179:3,506943;23/10/2024 16:12;4274MBS
6364;17;37,182257:3,661061;37,462996:3,439833;30/3/2049 16:12;8656JWN
6365;56;37,870663:3,377148;37,940153:3,985778;5/7/2048 16:12;9686JTV
6366;39;37,825861:3,906858;37,561571:3,067110;21/2/2022 16:12;0703UYI
6367;46;37,300089:3,641072;37,965209:3,680837;15/12/2048 16:12;9705MUZ
-23248369V;M95WCR1zE;Fletcher St. Ledger;57996 Farmco Pass;36,119061;-5,120232
6368;88;37,018677:3,440504;37,148625:3,648518;3/6/2045 16:12;3773SEZ
6369;64;37,364757:3,726646;37,529130:3,691092;18/3/2031 16:12;8319KSJ
6370;20;37,572649:3,117130;37,037172:3,333537;8/8/2048 16:12;4014HKJ
6371;39;37,446699:3,050050;37,374950:3,782891;20/12/2028 16:12;4143CJR
-53092544O;x8GD6O;Willabella Reinhardt;5283 Mockingbird Center;42,716961;-1,612969
6372;11;37,230476:3,975921;37,829554:3,538713;11/9/2043 16:12;4683VSX
-82333959M;DLScVrlEW286;Arlan Radnage;491 Lukken Avenue;39,505951;-5,643512
6373;13;37,685659:3,476577;37,504959:3,889462;8/8/2022 16:12;9686JTV
6374;28;37,108341:3,339579;37,610034:3,947295;18/5/2029 16:12;6165NOT
6375;47;37,550554:3,234870;37,116489:3,270974;18/10/2020 16:12;8403AWH
6376;36;37,717185:3,297617;37,802759:3,252602;28/3/2043 16:12;4838RSS
-96546980Z;etIpV6;Brandy Burkart;0612 New Castle Junction;37,972431;-1,394095
6377;10;37,916837:3,891110;37,028077:3,147893;9/9/2032 16:12;0703UYI
6378;6;37,808649:3,892880;37,599628:3,321635;27/12/2031 16:12;5317SEB
6379;45;37,704764:3,908689;37,317698:3,553362;27/2/2055 16:12;8430SMA
-47920140V;Y5UbYm;Ilysa Logsdail;2799 Bunting Circle;41,446892;-6,121576
6380;18;37,582659:3,631214;37,160497:3,833522;18/1/2045 16:12;3726ZYY
6381;13;37,673330:3,960997;37,585772:3,205145;22/5/2051 16:12;0189DDK
-34919697H;vED24Xh;Michal Spoure;65 Victoria Center;39,802299;-5,199557
6382;18;37,863643:3,194403;37,367687:3,578722;29/9/2038 16:12;0528UBI
6383;27;37,548418:3,883084;37,814417:3,493454;24/5/2047 16:12;3072QJD
6384;47;37,594256:3,277413;37,972076:3,502487;20/11/2039 16:12;9630PPK
6385;62;37,989105:3,621448;37,475814:3,408307;21/1/2029 16:12;6886FBS
-75678178G;eF0cMk7l6;Sollie Lowen;692 Waywood Center;40,168636;-7,664159
6386;15;37,313944:3,387677;37,319895:3,587878;1/4/2021 16:12;3948CMF
6387;76;37,477645:3,775781;37,898862:3,739708;18/11/2028 16:12;3773SEZ
6388;11;37,605060:3,564348;37,277505:3,296396;24/4/2024 16:12;5420XPM
6389;37;37,865963:3,834254;37,225349:3,584857;18/6/2032 16:12;5065YOL
-80130251U;Z57r25KbFc5;Westleigh Felipe;902 Carpenter Point;43,103333;-2,645607
6390;9;37,735099:3,201575;37,236549:3,734123;1/8/2043 16:12;2077SWL
6391;15;37,973418:3,792810;37,999512:3,071780;2/8/2038 16:12;1525BYW
6392;34;37,731376:3,370830;37,045442:3,343333;1/9/2022 16:12;8758KXO
6393;27;37,208747:3,021668;37,655049:3,146336;23/2/2057 16:12;0788QVP
-85800916N;2uvYj7u3ne7;Lucine Langstrath;99698 Manley Park;40,237469;-1,199379
6394;16;37,194128:3,048799;37,139348:3,877804;4/10/2037 16:12;2135FIP
6395;21;37,363018:3,414930;37,141209:3,569536;11/2/2056 16:12;8691TAL
6396;66;37,066530:3,726218;37,135258:3,106388;28/11/2058 16:12;5102IBD
6397;9;37,883114:3,341655;37,382183:3,758904;12/10/2045 16:12;9314HEG
-78113674U;WBE0aZ;Tasia Myles;1 Redwing Point;39,095409;-0,738133
6398;8;37,617115:3,996704;37,402264:3,571215;21/6/2027 16:12;4131WXL
6399;4;37,726402:3,428571;37,815668:3,581622;5/2/2043 16:12;9381TEK
6400;3;37,632160:3,625172;37,500534:3,893277;10/5/2031 16:12;3928TAR
-16140738S;IKk7JA8KS;Augie Roback;4327 Autumn Leaf Way;41,322487;-0,770005
6401;59;37,673940:3,818628;37,615925:3,336314;7/10/2038 16:12;4002SKK
6402;31;37,334666:3,436598;37,233650:3,050142;3/8/2019 16:12;0572BNM
-89540288J;wRDlcIca;Hanson Vanyutin;9683 Waywood Place;42,421921;-3,723991
6403;15;37,179266:3,247963;37,578845:3,554796;25/11/2050 16:12;3195DDM
6404;40;37,690268:3,900449;37,091037:3,344707;25/9/2057 16:12;7323TFB
6405;78;37,752861:3,817713;37,704306:3,787286;11/5/2020 16:12;7601PVE
-36748568G;HcRyEMgVY;Sadella Balcombe;978 Victoria Crossing;39,312508;0,205714
6406;3;37,991180:3,801599;37,332316:3,809595;13/4/2037 16:12;4302UFG
6407;42;37,129917:3,679830;37,412610:3,565783;29/6/2042 16:12;7181JJQ
-25789417O;jHUqHgtOg2U;Giuseppe Whitsun;5 Northfield Drive;38,466698;-1,052339
6408;18;37,976745:3,603351;37,918882:3,550737;28/3/2050 16:12;5630YVJ
-60909490I;MpF83P;Veriee Omand;966 Mifflin Place;36,017796;-0,159451
6409;64;37,513016:3,343394;37,464644:3,461440;16/7/2048 16:12;3892WTG
6410;8;37,581439:3,495865;37,948271:3,544664;6/9/2041 16:12;5477BAG
6411;27;37,491592:3,754723;37,002350:3,616871;14/8/2055 16:12;6938OHV
6412;15;37,091159:3,272073;37,223090:3,822871;6/6/2035 16:12;8969JKP
6413;17;37,673421:3,266701;37,096225:3,546648;26/6/2040 16:12;9651LIZ
-99235235V;DYM2FfhV;Ange Grumble;26 2nd Pass;41,860661;-1,202316
6414;5;37,031098:3,507584;37,123203:3,444624;3/2/2041 16:12;1734JOS
6415;24;37,114658:3,971862;37,611011:3,555162;16/7/2034 16:12;4847OEX
6416;2;37,041932:3,735221;37,088839:3,281503;13/2/2045 16:12;8350EOA
6417;3;37,256355:3,624409;37,089053:3,064089;19/12/2040 16:12;3766DFP
6418;1;37,847926:3,852748;37,143864:3,364360;27/10/2057 16:12;4445NOZ
-88899527H;v6iUf9zaAyA;Richie Muldrew;0188 Pepper Wood Lane;37,293743;2,994055
6419;1;37,121952:3,714621;37,058351:3,222663;27/1/2019 16:12;4486VYL
6420;26;37,453047:3,064943;37,107150:3,142827;30/5/2026 16:12;7181JJQ
6421;6;37,769189:3,449843;37,693533:3,563189;6/8/2035 16:12;5628FGY
-60439865W;3U3X4ZgXPl;Jannel Hayller;5770 Meadow Ridge Point;40,684147;0,312348
6422;7;37,998230:3,194647;37,343791:3,989624;3/10/2031 16:12;7711AUV
6423;15;37,624287:3,347514;37,275521:3,152562;7/11/2031 16:12;0717ZSQ
6424;16;37,986450:3,785241;37,893490:3,673727;19/8/2028 16:12;4327ZFZ
6425;2;37,883999:3,433149;37,618030:3,934721;23/3/2057 16:12;8613XNV
6426;46;37,220466:3,393780;37,495163:3,976867;19/12/2027 16:12;6661GME
-96339531W;dbmtnz;Andriette Gatus;9653 Westend Alley;39,771751;-6,507939
6427;6;37,390728:3,233680;37,043580:3,332774;24/8/2054 16:12;9890TOF
6428;48;37,324808:3,327403;37,352580:3,803064;4/2/2032 16:12;7777FYS
6429;27;37,045564:3,808893;37,165716:3,582080;10/4/2023 16:12;4923XHA
6430;1;37,173925:3,542467;37,393475:3,290933;16/12/2052 16:12;4445NOZ
6431;33;37,238472:3,798761;37,714591:3,003601;17/4/2058 16:12;0929OVX
-75003329L;WRfV0pcR;Ethelind Eager;5 Caliangt Plaza;41,159843;-7,024275
6432;23;37,232246:3,849879;37,925382:3,852687;10/9/2042 16:12;1645MOG
6433;28;37,498062:3,165288;37,723472:3,695883;13/12/2042 16:12;3403BIT
6434;74;37,097140:3,926420;37,735313:3,427625;14/7/2055 16:12;8482WYQ
6435;35;37,520768:3,878933;37,576220:3,716056;5/10/2047 16:12;9319CSA
-30305546O;mmRPlWHjSvR;Joby Glazzard;3857 Manitowish Parkway;42,075584;-6,346158
6436;38;37,538408:3,421888;37,209113:3,727714;24/6/2036 16:12;7952HGM
-63107372J;0FaJBvty;Eddie Koopman;2 Clemons Avenue;35,912197;-2,483534
6437;30;37,321116:3,440229;37,943052:3,471694;25/6/2020 16:12;1612JUX
-89752210F;qtjTdMLLoOd;Ronny Cottell;04 High Crossing Place;39,554291;-0,426851
6438;4;37,357952:3,000122;37,313425:3,181524;6/12/2058 16:12;5317SEB
6439;4;37,309763:3,589923;37,103061:3,063662;17/8/2029 16:12;6762ZXG
6440;7;37,201697:3,849452;37,270547:3,646016;18/11/2044 16:12;9484ZVZ
6441;43;37,040925:3,381603;37,180792:3,129368;24/6/2037 16:12;8319KSJ
-39926729C;FNYiPQ4i;Alli Spruce;376 Elmside Street;39,063725;-3,986778
6442;51;37,950133:3,607105;37,964995:3,146245;8/10/2040 16:12;2857OZK
6443;7;37,149968:3,657979;37,550584:3,439344;31/1/2023 16:12;8680TUH
-40050059G;HXqeQ8sIo5;Jennilee Silwood;85 Lawn Center;40,262436;-8,565195
6444;50;37,503708:3,185095;37,915098:3,537797;9/1/2024 16:12;4002QEI
6445;9;37,952086:3,342021;37,162053:3,630055;29/5/2056 16:12;3881EDS
-14839495F;2mo7y8fnV0f;Felicia Gantlett;13 Texas Park;40,180214;3,152977
6446;44;37,788110:3,336161;37,892514:3,433943;2/3/2038 16:12;8527GLG
6447;44;37,962249:3,099643;37,399213:3,082522;26/6/2056 16:12;0376KPJ
-86759194P;bWpvtw;Ortensia Emmer;7070 Farragut Terrace;37,233215;1,524880
6448;7;37,133610:3,765618;37,272774:3,091556;2/3/2055 16:12;2661HLL
6449;35;37,413984:3,657491;37,324564:3,046083;7/3/2023 16:12;7908CBR
6450;22;37,047304:3,207465;37,218421:3,341258;6/5/2049 16:12;6463BYP
6451;14;37,908872:3,706565;37,635609:3,882870;5/2/2026 16:12;5736KTQ
6452;3;37,210578:3,869320;37,268746:3,333018;28/6/2044 16:12;3651VJM
-82979356L;j2kWg0GHAB;Glenn Strudwick;77 Johnson Alley;41,440434;-4,470790
6453;23;37,057070:3,659749;37,760613:3,773309;7/5/2057 16:12;3737OWL
6454;50;37,166082:3,669332;37,736381:3,239998;27/4/2043 16:12;8797JHT
6455;20;37,284158:3,444868;37,828059:3,312967;9/7/2021 16:12;1641HSG
6456;45;37,570544:3,225776;37,101169:3,418683;17/9/2050 16:12;8466CSZ
-16074472D;vOANCPZNz;Humfrey Devenish;91 Carberry Alley;40,271488;-6,039568
6457;22;37,778649:3,249550;37,471084:3,224555;23/9/2025 16:12;1113UDT
6458;14;37,965758:3,048219;37,537248:3,307352;16/11/2048 16:12;1645MOG
6459;11;37,460524:3,137272;37,021851:3,623676;6/10/2051 16:12;8887CBS
6460;5;37,443953:3,968139;37,816950:3,899960;31/5/2027 16:12;3048OFT
6461;5;37,166936:3,966857;37,533769:3,906766;3/6/2019 16:12;0674SCJ
-31035346C;IuPeB2tdpe9N;Gerik Babon;331 Caliangt Alley;39,032051;3,217480
6462;29;37,214454:3,363964;37,005005:3,208594;30/10/2058 16:12;3721DKT
6463;46;37,662221:3,418622;37,374584:3,147954;9/7/2030 16:12;4002QEI
6464;3;37,462233:3,019990;37,330546:3,114841;3/7/2039 16:12;7530MJA
6465;52;37,706381:3,327433;37,064547:3,012879;19/12/2039 16:12;4797PCT
6466;1;37,079196:3,525712;37,087497:3,931181;29/5/2025 16:12;1295VQD
-32301038D;I2QGDvBWs;Almire Vowdon;06 North Junction;36,178234;-4,321350
6467;36;37,256264:3,495651;37,472030:3,485153;14/2/2053 16:12;5855PIS
6468;4;37,162786:3,835932;37,117710:3,584979;3/3/2051 16:12;0506LOE
6469;40;37,216773:3,825678;37,965789:3,951964;20/1/2037 16:12;6427MRF
6470;40;37,475845:3,452712;37,737388:3,960845;24/1/2049 16:12;6799SQV
-77772555B;5iGiBneSIt;Lars Bourley;799 Shasta Avenue;38,976311;2,447016
6471;52;37,283517:3,769677;37,159398:3,508957;8/11/2024 16:12;6110BBM
6472;35;37,632038:3,738853;37,331126:3,296121;4/4/2047 16:12;5604DXQ
-80974681W;2q24LL6;Della Noads;60948 Aberg Hill;41,582447;2,027273
6473;71;37,426801:3,043916;37,929197:3,399915;4/12/2052 16:12;6166XVD
6474;55;37,615101:3,971191;37,021577:3,280099;1/2/2030 16:12;4961PVS
6475;39;37,632008:3,819330;37,252297:3,913053;13/7/2040 16:12;9460PTO
6476;8;37,581805:3,004059;37,989227:3,201880;24/4/2022 16:12;4274NOO
6477;45;37,857234:3,719687;37,176397:3,000732;15/1/2033 16:12;4797PCT
-50888330G;dpraiyaN;Levin Kobes;000 Mandrake Lane;39,016808;-7,607220
6478;34;37,065310:3,487045;37,775323:3,790918;7/7/2039 16:12;7511WKZ
6479;2;37,625813:3,252449;37,222724:3,284951;4/1/2048 16:12;3044TPB
6480;2;37,298349:3,022492;37,290994:3,267098;25/8/2043 16:12;3295ZGL
-12282255H;MsPWvz4WEr0;Milzie Purton;87639 Lakeland Junction;38,737038;-4,993548
6481;2;37,388867:3,667989;37,289315:3,767479;25/6/2023 16:12;4431IFS
6482;72;37,625904:3,957732;37,719749:3,217963;3/5/2045 16:12;6117QJL
-02759184V;8Ve30G;Bev Smalles;70746 Golf Course Hill;40,220158;-6,731084
6483;13;37,240547:3,411084;37,908353:3,770837;6/11/2022 16:12;4990MVC
6484;23;37,325480:3,771661;37,097324:3,029847;10/7/2023 16:12;7100YRZ
6485;25;37,923124:3,389843;37,444716:3,599963;18/3/2034 16:12;4773CAF
-71384477O;UA8GFSUTklz;Arlana Dominichelli;8 Cherokee Terrace;39,580524;-2,852834
6486;31;37,607868:3,044496;37,438795:3,859615;14/5/2055 16:12;3744FAK
-70787386J;LHRF7mOw;Kali McAuslan;019 Rowland Junction;39,645435;-0,527806
6487;21;37,965209:3,916196;37,597919:3,904355;27/5/2050 16:12;2050BCE
-95675037I;VILjyuN;Carly Farrier;0 Quincy Street;40,152843;2,263752
6488;3;37,100925:3,311167;37,471297:3,265023;6/10/2024 16:12;6802MVY
6489;27;37,090365:3,066378;37,305673:3,098483;18/4/2048 16:12;4598YHI
6490;54;37,792138:3,277139;37,907682:3,773492;16/10/2022 16:12;3431PPF
6491;16;37,106937:3,350841;37,427625:3,963439;21/8/2049 16:12;4773CAF
-88687659G;MyjKc8paXE;Tabby Crews;07841 Warbler Hill;43,156033;-6,935531
6492;2;37,603626:3,458968;37,321665:3,000580;11/5/2058 16:12;7252AES
6493;80;37,087802:3,108860;37,270577:3,066439;3/7/2019 16:12;7727WOH
6494;2;37,906003:3,952300;37,288797:3,549181;10/12/2057 16:12;7831LHJ
-75660052S;LHQ6U4r3pGq;Nehemiah Silman;1659 Sage Road;41,169010;-6,991857
6495;53;37,303781:3,214972;37,775567:3,077334;7/2/2049 16:12;1137JKF
6496;20;37,023591:3,166906;37,998169:3,813257;11/11/2022 16:12;6762ZXG
6497;17;37,602741:3,219214;37,784356:3,113315;8/7/2045 16:12;0029CXA
-52417230N;AFxiW35nCB;Gena Simkins;4 Meadow Vale Court;38,906239;-6,415000
6498;7;37,603870:3,245766;37,082308:3,609180;9/10/2034 16:12;7682KDB
6499;71;37,924039:3,973693;37,530320:3,631672;10/8/2025 16:12;4568ZMU
6500;32;37,743309:3,982208;37,271371:3,191748;13/4/2052 16:12;1987QNL
6501;4;37,723838:3,734245;37,186224:3,595111;7/2/2057 16:12;0417HBX
-44240802R;03ALJi;Margaret Kach;95 Corscot Park;38,657925;-0,648957
6502;11;37,911344:3,156011;37,785852:3,165899;30/7/2058 16:12;6024TDO
6503;65;37,693564:3,647511;37,465133:3,129734;20/12/2053 16:12;6096VMS
6504;41;37,958342:3,054964;37,242958:3,277078;13/2/2039 16:12;9460PTO
6505;41;37,423444:3,670797;37,225593:3,051210;28/9/2056 16:12;2912WPD
6506;8;37,381237:3,994781;37,093020:3,972015;11/4/2032 16:12;7831LHJ
-33593749D;fHgEfkMZ5;Cathleen Lunn;72 Brentwood Avenue;36,254013;-3,235610
6507;58;37,458174:3,848567;37,320658:3,545915;12/3/2053 16:12;5386KDU
6508;74;37,966460:3,807367;37,632954:3,191748;15/4/2054 16:12;6867WBU
6509;2;37,372692:3,627277;37,006561:3,385174;6/11/2052 16:12;9212EHP
6510;6;37,157140:3,659993;37,292276:3,253212;12/5/2041 16:12;0248GFV
6511;28;37,163060:3,187719;37,156346:3,940916;12/3/2034 16:12;6865ZQJ
-04513483F;l3i5fXO;Marcos Canero;01 Moland Way;40,249382;-7,730543
6512;9;37,852931:3,978362;37,256203:3,619251;11/2/2056 16:12;8447ZYI
6513;31;37,347026:3,309610;37,871975:3,558214;25/6/2033 16:12;0873GWX
6514;10;37,758629:3,345897;37,593616:3,185247;29/10/2053 16:12;3461WXR
-31336722O;FPw7dORKb;Clarissa Money;43 North Alley;38,036129;-4,181526
6515;38;37,997467:3,539995;37,566240:3,646809;14/7/2039 16:12;8457UHH
-22093079I;rWGpOfiEKKMD;Ardene Speake;267 Scoville Park;43,250092;-5,501702
6516;2;37,967345:3,952025;37,096896:3,985656;28/11/2028 16:12;9992KQV
-87034009S;iSj29gTw6;Liane Dorrance;227 Norway Maple Street;40,745960;-4,773891
6517;43;37,353862:3,194708;37,012146:3,606738;6/1/2054 16:12;8099WBE
-27687264J;lbk983M8;Mable Purkis;4030 Holy Cross Way;36,760052;-7,945381
6518;18;37,263253:3,194494;37,516495:3,204352;25/2/2058 16:12;6788NGR
-57248273H;2Ca3DIAIWy;Lilla Gounin;61 Corscot Circle;41,346401;-8,112749
6519;14;37,148137:3,489822;37,773919:3,940184;4/10/2055 16:12;7087PXY
6520;32;37,315409:3,461623;37,725455:3,781121;24/11/2039 16:12;6661GME
6521;49;37,247139:3,972472;37,694815:3,869900;1/7/2046 16:12;8755VEF
6522;40;37,052736:3,031465;37,315348:3,611621;28/3/2025 16:12;9630PPK
6523;22;37,819330:3,535844;37,247902:3,084811;14/9/2026 16:12;9010HWY
-14289661O;KaSb5ub;Shir Dunlap;34930 Sunfield Park;38,515774;-5,640753
6524;27;37,731773:3,962798;37,799066:3,654317;31/3/2042 16:12;4218QUR
6525;65;37,129246:3,072176;37,164342:3,719718;6/1/2045 16:12;8610GEM
-64737654E;ArGypl;Giles Whatling;73584 Del Mar Trail;40,519913;-1,286417
6526;29;37,987274:3,725822;37,516861:3,910733;5/7/2022 16:12;3077AGK
-48555122L;LhugH8;Celestia Lodewick;89131 Northridge Court;40,469849;-5,643528
6527;28;37,107456:3,176794;37,905179:3,974029;9/9/2054 16:12;4060CYJ
6528;1;37,260537:3,451338;37,585742:3,820093;12/10/2037 16:12;5364FNA
6529;7;37,338939:3,874874;37,402966:3,856014;1/11/2023 16:12;1246LIU
-61884465E;vY5TzR;Hewet Trethewey;23 Luster Hill;41,485977;-8,123840
6530;29;37,705008:3,983673;37,152165:3,045473;6/5/2054 16:12;3597ZMX
6531;48;37,976501:3,937590;37,253426:3,531755;27/5/2045 16:12;6437PTV
6532;2;37,673513:3,433332;37,252663:3,958831;17/1/2032 16:12;7626TUQ
6533;5;37,167211:3,733757;37,448836:3,942717;1/7/2026 16:12;2654PQZ
-18795802K;hHh0COr18y;Towny Cooksey;6672 2nd Street;36,207462;-0,574758
6534;80;37,279000:3,883358;37,120090:3,463485;28/7/2023 16:12;4829DKC
6535;2;37,976897:3,594287;37,797113:3,204047;19/6/2047 16:12;8414DXC
6536;84;37,549699:3,549913;37,888241:3,688345;1/10/2053 16:12;4014HKJ
-14887377Z;xbDwg9k;Oren Eaden;9 Summit Center;37,000793;-4,243677
6537;8;37,616535:3,314646;37,594317:3,699942;19/12/2049 16:12;6223RFH
6538;4;37,594806:3,638417;37,460158:3,163854;30/12/2021 16:12;1872FAP
-12003320C;eofiPfZ0UMjk;Reeta Devaney;50 Golf View Plaza;39,529819;-0,017048
6539;69;37,508377:3,278756;37,586383:3,176977;31/10/2034 16:12;4797PCT
6540;9;37,041353:3,700735;37,591754:3,223060;14/6/2033 16:12;5006LUF
6541;81;37,355815:3,626911;37,534623:3,192145;10/1/2025 16:12;5604DXQ
-09625855C;5zQUrm;Ardenia Walford;7989 Atwood Lane;35,997066;-3,354227
6542;71;37,459853:3,438643;37,945799:3,284585;6/5/2026 16:12;5539NKY
-57597933P;E8QZxcqabT;Bradney Longridge;64052 Holmberg Trail;38,526997;-5,606949
6543;2;37,212195:3,565935;37,323649:3,061861;18/12/2029 16:12;6646PZT
6544;14;37,370067:3,003693;37,870296:3,424085;20/6/2025 16:12;0955KLU
6545;48;37,625904:3,115116;37,334880:3,504990;19/9/2056 16:12;3965HCH
-58089188C;YOOmQcpS1;Bryon Trent;61 Mariners Cove Trail;40,794067;-3,410245
6546;33;37,199835:3,581530;37,651997:3,762291;27/2/2029 16:12;5352TRC
6547;41;37,913541:3,401929;37,995880:3,975982;28/12/2025 16:12;9321VFT
-79030600X;WBIJBbpX;Karilynn Sedgmond;8 Buhler Pass;43,270527;-5,481684
6548;3;37,148869:3,953490;37,986450:3,853420;10/9/2034 16:12;4218QUR
6549;32;37,252022:3,502762;37,647725:3,759545;16/9/2034 16:12;2376PTT
-50338007N;Lcgxs7z;Thomasina Peacop;14 Service Hill;40,095306;3,097386
6550;15;37,933226:3,689474;37,809565:3,067324;27/2/2033 16:12;8640VKG
6551;6;37,096133:3,451399;37,798578:3,795312;15/9/2020 16:12;5610VRZ
6552;1;37,228401:3,634175;37,565233:3,331248;20/7/2025 16:12;4445NOZ
6553;1;37,524277:3,809778;37,855464:3,190497;28/4/2023 16:12;4588IXQ
6554;12;37,225471:3,658895;37,140477:3,761559;3/6/2047 16:12;9314HEG
-64598538H;NQC1ByfUTCv0;Pebrook Yeldon;9 Hanover Circle;37,996758;-0,823749
6555;38;37,155461:3,993316;37,216803:3,029542;26/3/2054 16:12;7359JUR
6556;11;37,713340:3,969207;37,876614:3,680868;16/3/2050 16:12;6622BOO
6557;18;37,179846:3,664754;37,809137:3,890133;14/7/2055 16:12;0338CZG
6558;47;37,316996:3,583239;37,489151:3,913663;26/9/2021 16:12;9227UAU
-05304980O;1O0x97cMkbW;Thedrick Woodcroft;924 Marquette Avenue;37,000515;-5,726756
6559;36;37,508683:3,995880;37,185400:3,715262;22/5/2037 16:12;0703UYI
-35086042E;7bOVmU;Jilly Gianilli;1 Burning Wood Park;41,194576;2,541232
6560;19;37,889554:3,885769;37,826197:3,237648;13/3/2055 16:12;7674RWT
6561;1;37,652272:3,357616;37,321207:3,546037;10/11/2044 16:12;2706NHE
-26652034Q;kGbeNagJaB;Vanessa Mulhall;62184 Harbort Park;39,191124;-0,008862
6562;56;37,025056:3,669210;37,593829:3,152501;29/9/2053 16:12;2425QUD
6563;65;37,780786:3,015839;37,802942:3,079226;2/12/2034 16:12;4686CWH
6564;24;37,368053:3,172857;37,241798:3,645894;1/5/2048 16:12;3554SAN
6565;74;37,769677:3,395154;37,657338:3,227332;28/3/2039 16:12;3049YGR
6566;26;37,220740:3,481368;37,287637:3,751915;23/6/2025 16:12;4907FBM
-33832039Z;YNp91ejbTU13;Brade Earsman;32136 David Trail;43,096169;3,234632
6567;20;37,640156:3,173284;37,784173:3,362804;11/7/2023 16:12;0097BBF
6568;28;37,261544:3,637654;37,537370:3,381390;16/9/2030 16:12;0011KLW
6569;23;37,133549:3,318827;37,843745:3,290963;4/7/2034 16:12;1645MOG
6570;23;37,921445:3,798151;37,516465:3,676962;22/5/2035 16:12;8580IWN
6571;65;37,912564:3,315989;37,223853:3,821955;7/1/2046 16:12;8763FBN
-86347639M;VOdbAE5P9U;Dill Jencey;45 Washington Alley;38,257294;2,740725
6572;9;37,384045:3,819117;37,737999:3,095065;16/7/2034 16:12;1721FWH
-91129603G;FsRaDiRb3SV;Piggy Payfoot;3281 Blue Bill Park Avenue;41,854794;-0,666110
6573;12;37,015961:3,584979;37,339793:3,394635;11/11/2019 16:12;4716ZYZ
6574;57;37,627430:3,668752;37,984802:3,447096;1/8/2039 16:12;1839RGL
6575;3;37,254463:3,780450;37,602252:3,919065;9/12/2037 16:12;3801TGV
-72146999Z;xPciGi9;Ambur Fossey;56591 Texas Junction;36,543041;-2,847038
6576;9;37,082492:3,688009;37,010010:3,941404;15/5/2021 16:12;9890TOF
6577;26;37,160497:3,590533;37,466414:3,786462;4/8/2040 16:12;5391JQE
6578;57;37,207526:3,332591;37,590136:3,134342;28/6/2037 16:12;1683ACV
6579;86;37,660573:3,387066;37,348460:3,720511;3/5/2036 16:12;8898BQK
-76411776B;bXrsgrsucLQg;Marna Arkill;81 Southridge Drive;41,046524;-2,509536
6580;2;37,210456:3,587054;37,058687:3,060579;28/12/2025 16:12;6873KAF
6581;9;37,149174:3,246040;37,991089:3,003937;26/5/2022 16:12;3693SXT
6582;47;37,654286:3,554796;37,919797:3,663839;9/4/2035 16:12;9096TMK
-89364085L;K4MqUZ3B;Darcey Hopfner;4 Independence Parkway;39,500343;-3,613794
6583;2;37,774651:3,397229;37,383740:3,843532;18/2/2056 16:12;3333LNH
6584;4;37,751244:3,460494;37,123325:3,160009;6/7/2026 16:12;4870SHO
6585;65;37,107822:3,283395;37,602374:3,881191;25/1/2033 16:12;9691DCH
6586;16;37,550310:3,729637;37,712546:3,771172;14/5/2022 16:12;0607VKL
6587;53;37,919187:3,681509;37,745659:3,327616;15/3/2042 16:12;4637IGS
-42279874K;EhtWr0A2h;Susana Maken;42407 Packers Park;42,309113;-1,457140
